"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\courts\owner_court_order_details_modal_sheet.dart", "Dart", 298, 0, 1, 7, 306
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\courts\owner_court_orders_page.dart", "Dart", 177, 0, 0, 10, 187
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\courts\owner_courts_list_page.dart", "Dart", 93, 0, 0, 4, 97
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\courts\owner_courts_tab_page.dart", "Dart", 82, 0, 1, 12, 95
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\owner_event_creation_page.dart", "Dart", 511, 0, 63, 63, 637
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\owner_main_page.dart", "Dart", 135, 0, 4, 10, 149
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\stripe_not_completed_page.dart", "Dart", 74, 0, 0, 4, 78
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\stripe_not_connect_page.dart", "Dart", 72, 0, 0, 4, 76
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\sub pages\confirm_event_page.dart", "Dart", 177, 0, 14, 27, 218
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\sub pages\event_added_successfully_page.dart", "Dart", 57, 0, 1, 4, 62
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\sub pages\select_event_drinks_page.dart", "Dart", 196, 0, 4, 11, 211
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\sub pages\select_event_location_page.dart", "Dart", 65, 0, 2, 4, 71
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\owner\representation\pages\creation\sub pages\select_event_meals_page.dart", "Dart", 213, 0, 5, 11, 229
